Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Avocados,0,0,160,15.0,2.0,0.55,12.0,7.0,485.0,8.5,6.7,0.0,0.7,https://domf5oio6qrcr.cloudfront.net/medialibrary/5138/h0618g16207257173805.jpg
Bananas,0,0,89,0.3,1.1,0.26,5.0,1.0,358.0,23.0,2.6,0.0,12.0,https://images.heb.com/is/image/HEBGrocery/000377497
Boiled Egg,1,0,155,10.0,12.0,1.2,50.0,124.0,126.0,1.1,0.0,2.2,1.1,https://steamykitchen.com/wp-content/uploads/2023/10/soft-boiled-eggs-yolk.jpeg
Fried Egg,1,0,196,14.8,13.0,1.9,62.0,207.0,152.0,0.9,0.0,2.2,0.4,https://bing.com/th?id=OSK.53089988fc3e045aef79cb8ae419817d
Berries,0,0,349,0.4,14.0,6.8,190.0,298.0,77.0,77.0,13.0,0.0,46.0,https://th.bing.com/th/id/R.7b7c8a6bac9677484bf745f76f9257a9?rik=%2f0IdObK%2b1U%2fNEQ&pid=ImgRaw&r=0
American cheese,0,0,331,24.0,20.0,0.84,497.0,966.0,363.0,8.3,0.0,0.0,0.0,https://th.bing.com/th/id/R.5fe9a3fe1f40b74a39360589b00bddc0?rik=TXZ9ZmQThYpN5A&pid=ImgRaw&r=0
Coffee,0,0,2,0.0,0.3,0.02,2.0,1.0,50.0,0.2,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.R2EgUd-qfhTvwfOcBTyqWQHaEO?rs=1&pid=ImgDetMain
Corn,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0.0,7.7,https://th.bing.com/th/id/OIP.TjPm7I6kuJer0_Xh0KTEVAHaE7?rs=1&pid=ImgDetMain
Grapes,0,0,93,2.1,5.6,2.63,363.0,9.0,272.0,17.0,11.0,0.0,6.3,https://th.bing.com/th/id/OIP.QcjDKfKuGp8MDOLgQQnVRQHaEG?rs=1&pid=ImgDetMain
Milk,0,0,97,6.9,3.8,0.12,169.0,52.0,178.0,5.2,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.i6v-8j3Rgpr0pzE6nnBGRwHaLH?rs=1&pid=ImgDetMain
