Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Asparagus Cooked,0,0,22,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0.0,1.3,https://tse1.mm.bing.net/th/id/OIP.JiunioH6eDMEIJtRat5dowAAAA?r=0&rs=1&pid=ImgDetMain
Boiled Egg,1,0,155,10.0,12.0,1.2,50.0,124.0,126.0,1.1,0.0,2.2,1.1,https://steamykitchen.com/wp-content/uploads/2023/10/soft-boiled-eggs-yolk.jpeg
Fried Egg,1,0,196,14.8,13.0,1.9,62.0,207.0,152.0,0.9,0.0,2.2,0.4,https://bing.com/th?id=OSK.53089988fc3e045aef79cb8ae419817d
Bagels made in wheat,0,1,250,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0.0,6.1,https://th.bing.com/th/id/OIP.-x7drBY85kA0GyPcnUBhmQHaHi?rs=1&pid=ImgDetMain
Brocolli,0,0,25,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0.0,0.6,https://th.bing.com/th/id/OIP.zeKqXlUZor5fT88s0IVDhQHaEm?rs=1&pid=ImgDetMain
Brown Rice,0,0,362,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0.0,0.0,https://th.bing.com/th/id/OIP.qnqr2ovVMB6HuQ05-Fwp0wHaHa?rs=1&pid=ImgDetMain
Cauliflower,0,0,32,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0.0,0.0,https://th.bing.com/th/id/OIP.lQ9sBnPaLzGPbkdQgJ-DqwHaE8?rs=1&pid=ImgDetMain
Corn,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0.0,7.7,https://th.bing.com/th/id/OIP.TjPm7I6kuJer0_Xh0KTEVAHaE7?rs=1&pid=ImgDetMain
Onions,0,0,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0.0,4.2,https://th.bing.com/th/id/R.d8c736d7731e57dddbeac3aa5e99ee1d?rik=cV6yIsCR%2fJRPug&riu=http%3a%2f%2fwww.almanac.com%2fsites%2fdefault%2ffiles%2fimage_nodes%2fonions.jpg&ehk=j9c2t0N3TYlDybNtpzOKj2StSAC6Nz3%2bVJD6BbBXxBc%3d&risl=&pid=ImgRaw&r=0
Pasta canned with tomato sauce,0,1,71,0.7,2.2,0.91,13.0,381.0,192.0,14.0,0.9,0.0,4.0,https://th.bing.com/th/id/OIP.roTwIO1fo6wGH07ShBPiuwAAAA?rs=1&pid=ImgDetMain
